Name,Location,Brand,Gender,      Age,Reviews
Xanthus Farrell,Poland,Dell,Male,22,Disappointed no access to Apps without credit card
Kevyn Barrera,Turkey,Dell,Male,22,Daughter loves it
Ignatius Page,India,Amazon,Female,19,Good size
Lysandra Carter,Ukraine,Amazon,Male,28,Love this tablet!
Isabella Hoffman,United States,Amazon,Male,21,bigger screen!
Chancellor Battle,Mexico,HP,Female,19,Perfect size. Great resolution.
Odysseus Salinas,Philippines,Amazon,Male,22,Daughter Loves This Tablet
Hayden Spencer,South Korea,Dell,Female,26,Great Tablet For My Wife
Calvin Spencer,Turkey,Apple,Female,18,Great value for what you get
Xandra Bates,Germany,LG,Male,21,Wasn't for me
Ivory Rowland,Colombia,Amazon,Male,25,works fine for my youngest
Barry Fernandez,South Korea,Dell,Male,23,Great tablet for the price
Jade Pena,Russian Federation,Sony,Female,30,Great for games
Talon Simmons,India,Samsung,Female,19,Bargain tablet
Charissa Boyer,Vietnam,Apple,Male,30,I love it.
Cherokee Stafford,Indonesia,Microsoft,Male,18,"awesome, convenient"
Helen Frost,Mexico,Dell,Male,21,Small And Compact
Edward Ellis,Nigeria,HP,Male,22,Daughter's new Kindle Fire HD8
Garth Moreno,Philippines,HP,Male,19,TERRIBLE DONT BUY
Dieter Dudley,China,Apple,Male,27,Purchased as a Christmas Gift
Addison Mercer,Ukraine,Amazon,Female,22,A MUST if you have Amazon Prime
Elijah Robinson,China,Amazon,Male,20,Christmas present
Hannah Pennington,Colombia,Amazon,Female,29,Great tablet for kids
Arthur Vinson,Colombia,Apple,Male,19,Great update to my existing kindle
Cheyenne Richard,South Korea,HP,Male,28,Excellent device
Jonah Bowers,Pakistan,Amazon,Female,27,Works very well especially for non tech people
Azalia Hess,Norway,Dell,Female,21,Great display
Nell Pace,Turkey,Sony,Female,28,"Amazon 8"" HD Tablet"
Lana Munoz,Nigeria,Samsung,Male,30,great buy!
Tanya Holcomb,Germany,Microsoft,Female,25,Great tablet for readers
Illana Craig,South Africa,Dell,Female,23,I bought one for me and one for each of my nieces.
Delilah Palmer,Vietnam,Sony,Male,21,Best bang for your buck!
Camille Moore,Ireland,Microsoft,Female,30,Good for the price
Hiroko Holmes,Ukraine,Dell,Male,25,Very good product so far
Vivian Carter,South Korea,Amazon,Female,18,This tablet its awesome !!!!
Heidi Clark,South Africa,Dell,Female,21,Good Tablet for Books
Emi Adams,Ireland,Sony,Female,27,Awesome
Cade Levy,Chile,LG,Female,22,Great for kids
Benedict Vaughan,Peru,HP,Female,29,Great value for pricing
Suki Branch,China,Amazon,Female,27,Great
Holly Williamson,Indonesia,LG,Male,26,Awesome Table for the $$
Nehru Rodgers,Turkey,Apple,Female,23,Good little tablet with HD quality
Amethyst Chen,Mexico,LG,Female,19,Great raffle prize
Nadine Nichols,Canada,Microsoft,Female,25,Good tablet for the money
Sara Knight,Belgium,Dell,Female,25,good portable device
Leroy Haley,Indonesia,Samsung,Female,18,"Great fun,Educational apps,books,brain teasers"
Cara Nieves,Netherlands,LG,Female,25,"this product has great features, and good history"
Jakeem Huff,Turkey,Microsoft,Male,28,You get a lot for the price!
Martha Ross,Germany,HP,Male,23,Great Reader
Jelani Frazier,Pakistan,Sony,Female,27,Easy to use.
Jennifer Rosa,Mexico,Samsung,Male,24,Great tablet for anybody.
Ivan Snow,Poland,Dell,Male,27,jealous
Kylynn Johnston,Germany,Dell,Female,30,Kindle Fire HD 8
Thane Craig,New Zealand,Sony,Female,23,Great for college students
Kirk Solis,Norway,HP,Male,28,Get Online without Hassle
Julie Hines,United States,LG,Female,28,nice product for the money
Acton Mcguire,Mexico,HP,Female,19,great for the price
Jared Frank,Poland,Apple,Female,19,Perfect
Sebastian Barton,South Korea,Amazon,Male,25,Best Bang For Your Money
Angelica Eaton,Canada,HP,Female,19,Xmas gift
Maryam Daniels,Mexico,Sony,Male,27,Great tablet at a great price
Joy Collins,Norway,Samsung,Female,18,Great size
Quamar Williamson,New Zealand,Sony,Male,23,So very happy with the new kindle !
Karina Vang,India,LG,Male,27,Budget priced and Easy to use
Jessica Le,France,Amazon,Female,25,Great entry tablet for the price
Carolyn Flynn,Spain,Microsoft,Female,23,Great tablet
Noel Bond,Sweden,Sony,Female,30,Can't beat if for the price
